sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR5098351,gut,gut,gut,
SRR5098349,gut,gut,gut,
SRR5098348,gut,gut,gut,
SRR5098347,gut,gut,gut,
SRR5098346,gut,gut,gut,
SRR5098343,gut,gut,gut,
SRR5098341,gut,gut,gut,
SRR5098340,gut,gut,gut,
SRR5098339,gut,gut,gut,
SRR5098333,gut,gut,gut,
SRR5098332,gut,gut,gut,
SRR5399965,gut,gut,gut,
SRR5399964,gut,gut,gut,
SRR5399963,gut,gut,gut,
SRR5399961,gut,gut,gut,
SRR5399960,gut,gut,gut,
SRR5399959,gut,gut,gut,
SRR5399958,gut,gut,gut,
SRR5399957,gut,gut,gut,
SRR5399955,gut,gut,gut,
SRR5399953,gut,gut,gut,
SRR5399952,gut,gut,gut,
SRR5399950,gut,gut,gut,
SRR5399949,gut,gut,gut,
SRR5399948,gut,gut,gut,
SRR5399947,gut,gut,gut,
SRR5399946,gut,gut,gut,
SRR5399944,gut,gut,gut,
SRR5399943,gut,gut,gut,
SRR5399941,gut,gut,gut,
SRR5399940,gut,gut,gut,
SRR5399938,gut,gut,gut,
SRR5399937,gut,gut,gut,
SRR5399934,gut,gut,gut,
SRR5399933,gut,gut,gut,
SRR5399932,gut,gut,gut,
SRR5399931,gut,gut,gut,
SRR5399930,gut,gut,gut,
SRR5399929,gut,gut,gut,
SRR5399928,gut,gut,gut,
SRR5399926,gut,gut,gut,
SRR5399925,gut,gut,gut,
SRR5399924,gut,gut,gut,
SRR5399918,gut,gut,gut,
SRR5399917,gut,gut,gut,
SRR5399916,gut,gut,gut,
SRR5399915,gut,gut,gut,
SRR5399909,gut,gut,gut,
SRR5399908,gut,gut,gut,
SRR5399907,gut,gut,gut,
SRR5399906,gut,gut,gut,
SRR5399904,gut,gut,gut,
SRR5399903,gut,gut,gut,
SRR5399902,gut,gut,gut,
SRR5399901,gut,gut,gut,
SRR5399900,gut,gut,gut,
SRR5399899,gut,gut,gut,
SRR5399898,gut,gut,gut,
SRR5399896,gut,gut,gut,
SRR5399895,gut,gut,gut,
SRR5399894,gut,gut,gut,
SRR5399893,gut,gut,gut,
SRR5399892,gut,gut,gut,
SRR5399891,gut,gut,gut,
SRR5399890,gut,gut,gut,
SRR5399889,gut,gut,gut,
SRR5399888,gut,gut,gut,
SRR5399886,gut,gut,gut,
SRR5399885,gut,gut,gut,
SRR5399884,gut,gut,gut,
SRR5399883,gut,gut,gut,
SRR5399882,gut,gut,gut,
SRR5399881,gut,gut,gut,
SRR5399877,gut,gut,gut,
SRR5399876,gut,gut,gut,
SRR5399874,gut,gut,gut,
SRR5399873,gut,gut,gut,
SRR5399872,gut,gut,gut,
SRR5399871,gut,gut,gut,
SRR5399870,gut,gut,gut,
SRR5399869,gut,gut,gut,
SRR5399868,gut,gut,gut,
SRR5399867,gut,gut,gut,
SRR5399866,gut,gut,gut,
SRR5399865,gut,gut,gut,
SRR5399864,gut,gut,gut,
SRR5399863,gut,gut,gut,
SRR5399862,gut,gut,gut,
SRR5399861,gut,gut,gut,
SRR5399860,gut,gut,gut,
SRR5399859,gut,gut,gut,
SRR5399858,gut,gut,gut,
SRR5399857,gut,gut,gut,
SRR5399856,gut,gut,gut,
SRR5399855,gut,gut,gut,
SRR5399854,gut,gut,gut,
SRR5399853,gut,gut,gut,
SRR5399852,gut,gut,gut,
SRR5399851,gut,gut,gut,
SRR5399850,gut,gut,gut,
SRR5399848,gut,gut,gut,
SRR5399847,gut,gut,gut,
SRR5399846,gut,gut,gut,
SRR5399845,gut,gut,gut,
SRR5399844,gut,gut,gut,
SRR5399834,gut,gut,gut,
SRR5399833,gut,gut,gut,
SRR5399830,gut,gut,gut,
SRR5399829,gut,gut,gut,
SRR5399827,gut,gut,gut,
SRR5399824,gut,gut,gut,
SRR5399821,gut,gut,gut,
SRR5399452,gut,gut,gut,
SRR5399451,gut,gut,gut,
SRR5399450,gut,gut,gut,
